Questions,Difficulty,Category
How can we kill a DataStage job?,3,Other
How do we compare the Validated OK with the Compiled Process in DataStage?,1,Other
Explain the feature of data type conversion in DataStage.,2,Other
What is the significance of the exception activity in DataStage?,2,Other
What is the difference between Datastage 7.5 and 7.0?,3,Other
Describe the DataStage architecture briefly.,2,Other
What are the main features of the Flow Designer?,2,Other
Name the command line functions to import and export the DS jobs?,2,Other
What are the various types of lookups in DataStage?,2,Other
How can we run a job using the command line in DataStage?,1,Other
When do we use a parallel job and a server job?,2,Other
What is Usage Analysis in DataStage?,1,Other
How to find the number of rows in a sequential file?,3,Other
What is the difference between a sequential file and a hash file?,2,Other
How do we clean a DataStage repository?,2,Other
How do we call a routine in DataStage?,3,Other
What is the difference between an Operational DataStage and a Data Warehouse?,3,Other
What does NLS mean in DataStage?,1,Other
"In Datastage, how you can fix the truncated data error?",2,Other
What is a Hive connector?,3,Other
Differentiate between Informatica and DataStage.,1,Other
What is Informatica PowerCenter?,1,Other
Mention some typical use cases of Informatica.,3,Other
How can we filter rows in Informatica?,2,Other
Differentiate between Joiner and Lookup transformations.,3,Other
"In Informatica Workflow Manager, how many repositories can be created?",2,Other
What are the types of lookup transformation?,1,Other
How do pre- and post-session shell commands function? ,1,Other
What can we do to improve the performance of Informatica Aggregator Transformation?,1,Other
Why do we use mapping parameters and mapping variables?,2,Other
Define the surrogate key.,2,Other
Explain sessions and also shed light on how batches are used to combine executions.,2,Other
How can we delete duplicate rows from flat files?,2,Other
What are the features of Informatica Developer 9.1.0?,2,Other
What are the advantages of using Informatica as an ETL tool over Teradata?,1,Other
Differentiate between various types of schemas in data warehousing.,3,Other
What is target load order? How to set it?,1,Other
Define Target Designer.,1,Other
What are the advantages of Informatica?,2,Other
List some of the PowerCenter client applications with their basic purpose.,3,Other
What are sessions? List down their properties.,2,Other
What are the various types of transformations possible in Informatica?,2,Other
What are the features of connected lookup?,2,Other
Define junk dimensions.,1,Other
What is the use of Rank Transformation?,3,Other
Define Sequence Generator transformation.,2,Other
What is the purpose of the INITCAP function?,3,Other
Define enterprise data warehousing?,1,Other
Differentiate between a database and a data warehouse?,3,Other
What do you understand by the term ‘domain’?,1,Other
Differentiate between a repository server and a powerhouse.,3,Other
How can we create indexes after completing the load process?,1,Other
Define sessions in Informatica ETL.,3,Other
How many number of sessions can we have in one group?,3,Other
Differentiate between a mapping parameter and a mapping variable.,1,Other
Mention the advantages of partitioning a session.,3,Other
What are the features of complex mapping?,1,Other
How can we identify whether a mapping is correct or not without a connecting session?,2,Other
"Can we use mapping parameters or variables, developed in one mapping, into any other reusable transformation?",3,Other
What is the use of the aggregator cache file?,1,Other
What is lookup transformation?,3,Other
What do you understand by the term ‘role-playing dimension’?,1,Other
Mention the types of metadata that are stored in repository.,3,Other
What is code page compatibility?,3,Other
How can we confirm all mappings in the repository simultaneously?,3,Other
Define Aggregator transformation.,1,Other
What is Expression transformation?,2,Other
Define Filter transformation.,1,Other
Define Joiner transformation.,1,Other
What do you mean by Lookup transformation?,3,Other
How can we use Union transformation?,1,Other
Differentiate between a connected lookup and an unconnected lookup.,3,Other
Define mapplet.,2,Other
What is reusable transformation?,2,Other
Define update strategy.,3,Other
Explain the scenario which compels Informatica server to reject files,1,Other
What is surrogate key?,3,Other
Mention the prerequisite tasks to achieve the session partition.,3,Other
"In Informatics’ server, which files are created during the session RUMs?",1,Other
Define a session task.,3,Other
Define the command task.,3,Other
Explain standalone command task.,1,Other
What is a predefined event?,3,Other
What is a user-defined event?,3,Other
Define workflow.,2,Other
Mention the different tools used in Workflow Manager?,1,Other
Name the other tools used for scheduling purpose other than Workflow Manager and pmcmd.,1,Other
Define worklet.,1,Other
Mention the use of a Target Designer.,1,Other
From where can we find the throughput option in Informatica?,1,Other
Define target load order.,3,Other
Define Informatica.,1,Other
What are the different lookup cache(s)?,3,Other
82. What are the new features of Informatica 9.x Developer?,2,Other
What is Informatica ETL Tool?,3,Other
	What is the need for an ETL tool?,3,Other
Compare Spotfire & QlikView,1,Other
What is TIBCO Spotfire?,2,Other
Is TIBCO Spotfire a Core Lab product?,3,Other
What is S Programming Language?,3,Other
What is Spotfire Analytics?,2,Other
What is the use of Spotfire Analytics?,1,Other
What are the features of Spotfire?,2,Other
Describe the main features of TIBCO Spotfire 6.5?,3,Other
What is Spotfire Cloud?,3,Other
What are Spotfire Shared Folders?,1,Other
What is TIBCO Certified Messaging?,1,Other
"
Find Power BI Training in Other Regions",3,Other
Jaspersoft Characteristics,3,Other
What is Jaspersoft?,1,Other
What are the main features of Jaspersoft?,2,Other
What is the use of Jaspersoft?,2,Other
What is JasperReport?,3,Other
What is iReport?,2,Other
What is the difference between JasperReports Server Community Edition and JasperReports Server Professional?,1,Other
What is the use of Jasper Report?,3,Other
What is iReport Designer?,1,Other
What is Jaspersoft ETL?,2,Other
Who are the customers of Jaspersoft?,3,Other
Compare between ETL and ELT.,3,Other
What is an ETL process?,2,Other
How many steps are there in an ETL process?,2,Other
What are the steps involved in an ETL process?,2,Other
Can there be sub-steps for each of the ETL steps?,1,Other
What are initial load and full load?,2,Other
What is meant by incremental load?,1,Other
What is a 3-tier system in ETL?,2,Other
What are the three tiers in ETL?,2,Other
What are the names of the layers in ETL?,3,Other
What is meant by snapshots?,1,Other
What are the characteristics of snapshots?,2,Other
What are views?,1,Other
What is meant by a materialized view log?,1,Other
What is a materialized view?,3,Other
What is the difference between PowerCenter and PowerMart?,1,Other
With which apps can PowerCenter be connected?,1,Other
Which partition is used to improve the performances of ETL transactions?,2,Other
Does PowerMart provide connections to ERP sources?,3,Other
What is meant by partitioning in ETL?,1,Other
What is the benefit of increasing the number of partitions in ETL?,3,Other
What are the types of partitions in ETL?,3,Other
What is Round-Robin partitioning?,2,Other
What is Hash partitioning?,3,Other
What is mapping in ETL?,3,Other
What is a session in ETL?,1,Other
What is meant by Worklet in ETL?,2,Other
What is Workflow in ETL?,3,Other
What is the use of Mapplet in ETL?,2,Other
What is meant by operational data store?,2,Other
How does the operational data store work?,2,Other
What does the ODS in ETL generate?,1,Other
When are the tables in ETL analyzed?,2,Other
How are the tables analyzed in ETL?,2,Other
How can the mapping be fine-tuned in ETL?,1,Other
What are the differences between connected and unconnected lookups in ETL?,3,Other
Hyperion Characteristics,1,Other
What is Hyperion?,1,Other
What is Hyperion Planning?,3,Other
What are the different types of LOG Files?,2,Other
What are attributes?,1,Other
What is TB First and TB Last?,2,Other
How does Attribute dim impact report performance?,2,Other
Mention the main Features in Hyperion Planning v11.1.2.3?,3,Other
How is data stored in the Essbase database?,2,Other
What is the difference between UDA’s and Attribute dimensions?,1,Other
iReport Characteristics,3,Other
What is the difference between iReport and JasperReport?,1,Other
How are JasperReports and iReports created?,1,Other
How to determine the version of Java used by iReport designers in an environment?,2,Other
What are the steps for identifying the default Java version used for generating iReport?,1,Other
What is the command line for setting jdkhome specifically for iReport?,1,Other
How to change the version of Java used by the iReport?,1,Other
What is the command line for changing the version of Java used by the iReport?,3,Other
What are the restrictions for using command line for changing the version of Java used by iReport?,1,Other
Can JRE be selected to generate iReport?,2,Other
How to solve the problem of running iReport when it generates Java error?,3,Other
How to resolve the windows installer problem in Java?,3,Other
How to add user defined functions In iReport?,2,Other
What is achieved by scriptlets?,3,Other
How to run user defined functions in iReport?,2,Other
What is JAR?,2,Other
What is the specific necessity of the class containing user defined function?,2,Other
What is the parameter for using user defined function in iReport?,3,Other
What is the process of using user defined function in iReport?,2,Other
What are other user defined functions used in iReport?,3,Other
Is there any way to know how the report looks?,3,Other
Is it possible using multiple parameters for the query in iReport?,3,Other
Is it necessary installing additional files after installing the standard version of iReport?,3,Other
What is the process of documentation of iReport in Java?,2,Other
Is it good using packages for iReport documentation?,1,Other
What if the user cannot find Java.exe or (null)\jre\bin\java.exe nor (null) bin\java.exe while trying to generate iReport?,1,Other
What is basically iReport?,2,Other
What are the main features of JasperReport?,1,Other
What are two main features of iReport?,1,Other
What languages and codes are supported by iReport?,1,Other
Has the iReport any integrated features?,2,Other
What are the databases and data source that is supported by iReport?,2,Other
Are there any facilities for having backup in iReport?,3,Other
What is the link where information about iReport would be available?,3,Other
What are the system requirements for iReport?,3,Other
What files are required by iReport for configuration?,3,Other
Checkout this Qlik Sense Tutorial for Beginners:,2,Other
Explain briefly about Qlik Sense?,1,Other
How to manage data in the app with the data manager?,2,Other
What are Qlik Sense Charts?,3,Other
What is the Datatypes Qlik Sense?,3,Other
Explain the Associative Data Model of Qlik Sense.,2,Other
What is the QIX engine? ,3,Other
What is the QlikSense Hub?,2,Other
What is the function of QSS?,3,Other
What are the architectural components of Qlik Sense?,1,Other
What are Qlik Sense Streams?,2,Other
How is histogram visualization important in Qlik Sense?,1,Other
How does the visualization of text and images in Qlik Sense benefit users?,2,Other
Where are treemap charts used?,1,Other
Why use Qlik Sense filter panes?,3,Other
Compare QlikView & Qlik Sense,2,Other
Explain how Qlik Sense works?,2,Other
Differentiate between traditional and associative Index?,2,Other
How to connect Qlik Sense with R?,3,Other
"Is there any ability to create, edit or augment apps in Qlik Sense Cloud?",2,Other
What are synthetic keys under logical tables?,3,Other
What are the four essential abilities of Qlik Sense?,1,Other
Name the services that are managed by the Qlik Management Console.,1,Other
Explain the process of creating an application in Qlik Sense.,3,Other
How is Qlik converter useful for Qlik Sense users?,3,Other
Name some important extensions we use in Qlik Sense.,3,Other
What is the Qlik Sense collaboration feature?,2,Other
How can you save a selection state for future use?,3,Other
What do you do if data tables are not showing in the data manager?,1,Other
What is Qlik Sense map visualization?,3,Other
Why is warehousing important?,2,Other
Why is data warehousing important for BI tools?,3,Other
How do you manage records in an application via a fact supervisor?,1,Other
How to create a Cyclic Group in Qlik Sense?,2,Other
Is data encrypted on Qlik Sense Cloud?,2,Other
How to handle synthetic keys?,3,Other
How do you publish a sheet?,3,Other
What can be done in the Qlik Sense Cloud?,3,Other
How to deploy Qlik Sense?,1,Other
What are the desktop operations of Qlik Sense?,3,Other
What is Qlikview Data?,3,Other
How would you find memory reduction usage by a document?,2,Other
How do you optimize stimulating data?,2,Other
What is the advantage of the scheming condition?,2,Other
Why are variables important?,1,Other
What are the services managed by QMC?,3,Other
Why is QSS important?,2,Other
What do you think of the Trellis chart?,1,Other
What is Power BI?,3,Other
Why use Power BI?,1,Other
What is the difference between Managed Enterprise BI and Self-service BI?,1,Other
What exactly is Self-service BI?,1,Other
Why are you interested in Power BI? What makes you think that Power BI would be a great career option?,1,Other
Mention the important features of Power BI.,1,Other
Is Power BI free to use? ,2,Other
What are the versions of Power BI? ,2,Other
What is Power BI Desktop?,1,Other
What are the major components of Power BI?,3,Other
What is the purpose of the ‘Get Data’ icon in Power BI? ,2,Other
How can we filter data in Power BI?,1,Other
: How is Power BI different from other BI tools?,1,Other
: MSBI vs Power BI ,3,Other
: Power BI vs Tableau,2,Other
: What are the essential applications of Power BI?,2,Other
: Advantages of using Power BI?,3,Other
What are the building blocks of Power BI?,3,Other
Where is data stored in Power BI?,3,Other
What are content packs?,2,Other
What are the different views in Power BI Desktop?,3,Other
What is row-level security?,2,Other
What is DAX? What are the benefits of using variables in DAX?,1,Other
What is bidirectional cross-filtering in Power BI?,1,Other
How are relationships defined in Power BI Desktop?,2,Other
What do you know about Power BI Query Editor?,1,Other
What is Advanced Editor in Power BI?,2,Other
Why should general formatting be applied to data in Power BI?,3,Other
: Name the different connectivity modes available in Power BI?,1,Other
: What are the different types of refresh options available in Power BI?,1,Other
What are the most common data shaping techniques?,1,Other
"What is the difference between Calculated Columns, Calculated Tables, and Measures?",2,Other
Which In-memory Analytics Engine is used in Power Pivot?,3,Other
What is Power BI Designer?,2,Other
Is it possible to refresh Power BI Reports after they are published to the cloud?,1,Other
"What gateways are available in Power BI, and why use them?",1,Other
How can geographic data be mapped into Power BI Reports?,2,Other
What happens when you click on a single data point in one of the multiple visuals in a report?,1,Other
What is z-order in Power BI?,1,Other
: What are some ways that Excel experience can be leveraged with Power BI?,1,Other
What is the difference between a Data Analyst and a Business Analyst?,1,Other
List the core competencies of a Business Analyst.,2,Other
What is a feasibility study?,3,Other
What are the different tools used in Business Analytics? ,3,Other
Explain the business analysis process flow.,1,Other
How do you perform risk management in your project?,2,Other
Differentiate between risk mitigation and risk avoidance.,3,Other
8. What are the different phases of an IT project?,1,Other
Differentiate between a software development life cycle and a project life cycle.,3,Other
What are the tasks and responsibilities of a Project Manager?,2,Other
What do you mean by critical path analysis?,3,Other
How does CATWOE help in business analysis and decision-making?,1,Other
List various components of strategy analysis.,3,Other
What is business modeling?,2,Other
List various software engineering processes.,3,Other
Differentiate between Agile and Waterfall models.,1,Other
What is RUP methodology?,3,Other
What is RAD methodology?,2,Other
What are project deliverables?,2,Other
List the components of the Requirements Work Plan.,1,Other
What is the purpose of the Requirement Traceability Matrix?,1,Other
What is business process modeling?,1,Other
List the benefits of business process modeling.,1,Other
What is the use of UML?,3,Other
How do you analyze performance metrics?,2,Other
What do you think is the scope of Business Analysts in the Agile methodology perspective?,2,Other
What is meant by scope creep?,2,Other
List the elicitation techniques in Business Analytics.,2,Other
What are the initial steps involved in product development?,3,Other
What is BPMN gateway? What are its elements?,3,Other
What are some of the steps that you can take to avoid scope creep?,3,Other
Differentiate between BRD and SRS in Business Analysis.,3,Other
What is gap analysis?,2,Other
What is requirement prioritization in Business Analysis?,1,Other
What are the techniques used for requirement prioritization?,2,Other
Compare AWS and OpenStack,1,Other
Describe OpenStack.,1,Other
Explain the benefits of using OpenStack Cloud.,2,Other
What are the key components of OpenStack?,2,Other
What storage types are allowed by OpenStack Compute?,2,Other
"Define ‘users,’ ‘role’ and ‘tenant’ in OpenStack.",3,Other
Define Identity Service in OpenStack.,1,Other
Define the Networking Managers in OpenStack Cloud.,3,Other
Name the commands used to pause and un-pause(resume) an instance,1,Other
List the storage locations for VM images in OpenStack,2,Other
What is Token?,1,Other
What is OpenStack Python SDK?,1,Other
Describe the function of Filter Scheduler.,1,Other
Define the Networking option in OpenStack.,1,Other
List down the Networking hardware in OpenStack.,1,Other
Define Hypervisor,1,Other
List down the type of Hypervisors supported by OpenStack.,1,Other
Explain in brief the modular architecture of OpenStack.,2,Other
What command manages floating IP addresses in OpenStack,2,Other
Define bare-metal node.,1,Other
List down the components of OpenStack Compute,3,Other
Define the role of API Server.,2,Other
List the commands to generate Key pairs.,1,Other
Define Flavor,2,Other
How to create a user in OpenStack?,3,Other
How to assign a project/tenant to a user?,1,Other
Can we see the list of roles and associated IDs in OpenStack environment?,2,Other
"
Find AWS Training in Other Regions",2,Other
Watch this Microsoft Azure for Beginners video:,2,Other
What is Microsoft SharePoint Portal Server?,2,Other
What are zones?,2,Other
What is Windows SharePoint services?,3,Other
How is SharePoint Portal Server different from the Site Server?,1,Other
What is LINQ? How is it used in SharePoint?,3,Other
What are the hardware and software requirements for SharePoint 2010?,2,Other
What are the advantages of service applications over SSP?,2,Other
What is new SharePoint 2013?,3,Other
Why should a company migrate to SharePoint 2013?,2,Other
What is the licensing model for SharePoint 2013?,2,Other
What are the features of SharePoint?,3,Other
Why is it required to use sandbox solution in SharePoint?,2,Other
"
Find React JS Training in Other Regions",1,Other
What is AWS?,1,Other
Give the comparison between AWS and OpenStack.,3,Other
What is the importance of buffer in Amazon Web Services?,3,Other
"How are Spot Instance, On-demand Instance, and Reserved Instance different from one another?",1,Other
Why do we make subnets?,1,Other
Is there a way to upload a file that is greater than 100 megabytes in Amazon S3?,3,Other
What is the maximum number of S3 buckets you can create?,1,Other
How can you save the data on root volume on an EBS-backed machine?,2,Other
When should you use the classic load balancer and the application load balancer?,2,Other
How many total VPCs per account/region and subnets per VPC can you have?,2,Other
"Your organization has decided to have all their workload on the public cloud. But, due to certain security concerns, your organization decides to distribute some of the workload on private servers. You are asked to suggest a cloud architecture for your organization. What will be your suggestion?",3,Other
Which one of the storage solutions offered by AWS would you use if you need extremely low pricing and data archiving?,2,Other
"You have connected four instances to ELB. To automatically terminate your unhealthy instances and replace them with new ones, which functionality would you use?",3,Other
"The data on the root volumes of store-backed and EBS-backed instances get deleted by default when they are terminated. If you want to prevent that from happening, which instance would you use?",3,Other
How will you configure an Amazon S3 bucket to serve static assets for your public web application?,2,Other
Your organization wants to send and receive compliance emails to its clients using its own email address and domain. What service would you suggest for achieving the same in an easy and cost-effective way?,1,Other
"Can you launch Amazon Elastic Compute Cloud (EC2) instances with predetermined private IP addresses? If yes, then with which Amazon service it is possible?",3,Other
"If you launched a standby RDS, will it be launched in the same availability zone as your primary?",1,Other
What is the name of Amazon's Content Delivery Network ?,2,Other
"Which Amazon solution will you use if you want to accelerate moving petabytes of data in and out of AWS, using storage devices that are designed to be secure for data transfer?",2,Other
"If you are running your DB instance as Multi-AZ deployment, can you use standby DB instances along with your primary DB instance?",3,Other
"You accidently stopped an EC2 instance in a VPC with an associated Elastic IP. If you start the instance again, what will be the result?",1,Other
"Your organization has around 50 IAM users. Now, it wants to introduce a new policy that will affect the access permissions of an IAM user. How can it implement this without having to apply the policy at the individual user level?",3,Other
"Your organization is using DynamoDB for its application. This application collects data from its users every 10 minutes and stores it in DynamoDB. Then every day, after a particular time interval, the data (respective to each user) is extracted from DynamoDB and sent to S3. Then, the application visualizes this data to the users. You are asked to propose a solution to help optimize the backend of the application for latency at lower cost. What would you recommend?",1,Other
I created a web application with autoscaling. I observed that the traffic on my application is the highest on Wednesdays and Fridays between 9 AM and 7 PM. What would be the best solution for me to handle the scaling?,2,Other
You have an application running on your Amazon EC2 instance. You want to reduce the load on your instance as soon as the CPU utilization reaches 100 percent. How will you do that?,2,Other
What would I have to do if I want to access Amazon Simple Storage buckets and use the information for access audits?,1,Other
"I created a key in North Virginia region to encrypt my data in Oregon region. I also added three users to the key and an external AWS account. Then, to encrypt an object in S3, when I tried to use the same key, it was not listed. Where did I go wrong?",2,Other
"Suppose, you hosted an application on AWS that lets the users render images and do some general computing. Which of the below listed services can you use to route the incoming user traffic?Classic Load BalancerApplication Load BalancerNetwork Load balancer",1,Other
"Suppose, I created a subnet and launched an EC2 instance in the subnet with default settings. Which of the following options will be ready to use on the EC2 instance as soon as it is launched?Elastic IPPrivate IPPublic IPInternet Gateway",1,Other
Your organization has four instances for production and another four for testing. You are asked to set up a group of IAM users that can only access the four production instances and not the other four testing instances. How will you achieve this?,1,Other
Which of the following services can be used if you want to capture client connection information from your load balancer at a particular time interval?Enabling access logs on your load balancerEnabling CloudTrail for your load balancerEnabling CloudWatch metrics for your load balancer,1,Other
You have created a VPC with private and public subnets. In what kind of subnet would you launch the database servers?,1,Other
Is it possible to switch from an Instance-backed root volume to an EBS-backed root volume at any time?,1,Other
"Can you change the instance type of the instances that are running in your application tier and are also using autoscaling? If yes, then how? (Choose one of the following)Yes, by modifying autoscaling launch configurationYes, by modifying autoscaling tags configurationYes, by modifying autoscaling policy configurationNo, it cannot be changed",3,Other
Can you name the additional network interface that can be created and attached to your Amazon EC2 instance launched in your VPC?,2,Other
"Out of the following options, where does the user specify the maximum number of instances with the autoscaling commands?Autoscaling policy configurationAutoscaling groupAutoscaling tags configurationAutoscaling launch configuration",3,Other
"Which service provided by AWS can you use to transfer objects from your data center, when you are using Amazon CloudFront?",2,Other
Your company wants you to propose a solution so that the company’s data center can be connected to Amazon cloud network. What would be your proposal?,1,Other
Which of the following Amazon Services would you choose if you want complex querying capabilities but not a whole data warehouse?RDSRedshiftElastiCacheDynamoDB,3,Other
"You want to modify the security group rules while it is being used by multiple EC2 instances. Will you be able to do that? If yes, will the new rules be implemented on all previously running EC2 instances that were using that security group?",2,Other
Which one of the following is a structured data store that supports indexing and data queries to both EC2 and S3? DynamoDBMySQLAuroraSimpleDB,1,Other
Which service offered by Amazon will you choose if you want to collect and process e-commerce data for near real-time analysis? (Choose any two)DynamoDBRedshiftAuroraSimpleDB,3,Other
"If in CloudFront the content is not present at an edge location, what will happen when a request is made for that content?",1,Other
Can you change the private IP address of an EC2 instance while it is in running or in a stopped state?,1,Other
"Which of the following options will you use if you have to move data over long distances using the Internet, from instances that are spread across countries to your Amazon S3 bucket?Amazon CloudFrontAmazon Transfer AccelerationAmazon SnowballAmazon Glacier",3,Other
Which of the following services is a data storage system that also has REST API interface and uses secure HMAC-SHA1 authentication keys?Amazon Elastic Block StoreAmazon SnapshotAmazon S3,2,Other
What is EC2?,1,Other
What is Snowball?,3,Other
What is CloudWatch?,2,Other
What is Elastic Transcoder?,3,Other
What do you understand by VPC?,3,Other
What does an AMI include?,1,Other
What are the Storage Classes available in Amazon S3?,3,Other
What are the native AWS security logging capabilities?,1,Other
What are key pairs?,1,Other
What are policies and what are the different types of policies?,2,Other
What kind of IP address can you use for your customer gateway (CGW) address?,2,Other
Which of the following is not an option in security groups?List of usersPortsIP addressesList of protocolsList of users,1,Other
"A Company has a running Web Application Server in the N. Virginia region and the server has a large size EBS volume of approximately 500 GB, and to see the demand of business, the company needs to migrate the server from the current region to another AWS account’s Mumbai location. Which is the best way to migrate the server from the current location to the Mumbai region? And what information AWS administrator does require about AWS A/C?",3,Other
"A start-up company has a web application based in the us-east-1 Region with multiple Amazon EC2 instances running behind an Application Load Balancer across multiple Availability Zones. As the company's user base grows in the us-west-1 region, the company needs a solution with low latency and improved high availability. What should a solutions architect do to achieve it.?",2,Other
"A company is going to launch one branch in the UK and need to continue with its existing main branch in the USA. The company has almost 15 GB of data which is stored in an S3 Bucket in the Ohio region and data is stored with the default storage class. The Company also wants to provide its updated & stored data in the London S3 bucket using one zone accessibility storage class to save storage costs. In addition, the company also wants that the data must be updated automatically in S3’s London bucket; if any data is modified or written in the S3 bucket in Ohio.",1,Other
"You are an AWS Architect in your company, and you are asked to create a new VPC in the N.Virginia Region with two Public and two Private subnets using the following CIDR blocks:",3,Other
"The data on the root volumes of store-backed and EBS-backed instances get deleted by default when they are terminated. If you want to prevent that from happening, which instance would you use? And ensure if the EC2 instance is restarted, the data or configuration in the EC2 instance should not be lost.",1,Other
You have an application running on an EC2 instance. You need to reduce the load on your instance as soon as the CPU utilization reaches 80 percent. How will you accomplish the job?,1,Other
Watch this Video on AWS Training,3,Other
"In AWS, three different storage services are available, such as EFS, S3, and EBS. When should I use Amazon EFS vs. Amazon S3 vs. Amazon Elastic Block Store (EBS)?",1,Other
"An application running on AWS uses an Amazon Aurora Multi-AZ deployment for its database. When evaluating performance metrics, a solutions architect discovered that the database reads are causing high I/O and adding latency to the write requests against the database. What should the solutions architect do to separate the read requests from the write requests?",1,Other
A client reports that they wanted to see an audit log of any changes made to AWS resources in their account. What can the client do to achieve this?,2,Other
"Usually, you have noticed that one EBS volume can be connected with one EC2 instance, our company wants to run a business-critical application on multiple instances in a single region and need to store all instances output in single storage within the VPC. Instead of using EFS, our company is recommending the use of multi-attach volume with instances. As an architect, you need to suggest them what instance type and EBS volumes they should use.",2,Other
"A company is using a VPC peering connection option to connect its multiple VPCs in a single region to allow for cross VPC communication. A recent increase in account creations and VPCs has made it difficult to maintain the VPC peering strategy, and the company expects to grow to hundreds of VPCs. There are also new requests to create site-to-site VPNs with some of the VPCs. A solutions architect has been tasked with creating a centrally networking setup for multiple accounts and VPNs. Which networking solution would you recommend to resolve it?",3,Other
"An organization has multiple facilities in various continents such as North America, Europe, and the Asia Pacific. The organization is designing a new distributed application to manage and optimize its global supply chain and its manufacturing process. It needs to design the process in such a way that the booked order in one continent should be able to support data failover with a short Recovery Time Objective (RTO). The uptime of the application should not impact manufacturing, what kind of solution would you recommend as a solution architect?",2,Other
Check out this video on DevOps Interview Questions:,2,Other
What is DevOps?,3,Other
How does HTTP work?,1,Other
"In terms of development and infrastructure, mention the core operations of DevOps.",3,Other
What are some technical and business benefits of DevOps work culture?,2,Other
Name some of the most important DevOps tools?,1,Other
What is CI? What is its purpose?,2,Other
Name three important DevOps KPIs.,2,Other
What is the difference between continuous deployment and continuous delivery?,2,Other
What is DevOps? Is it a tool?,2,Other
What are the core operations of DevOps in terms of development and infrastructure?,2,Other
"Our team has some ideas and wants to turn those ideas into a software application. Now, as a manager, I am confused about whether I should follow the Agile work culture or DevOps. Can you tell me why I should follow DevOps over Agile?",2,Other
Can one consider DevOps as an Agile methodology?,3,Other
Can you tell me the advantages of using Git?,1,Other
Are git fetch and git pull the same?,3,Other
What are the benefits of using version control?,1,Other
How do you handle the merge conflicts in Git?,3,Other
Can you tell me some advantages of Forking Workflow over other Git workflows?,2,Other
When do you use ‘git rebase’ instead of ‘git merge’?,3,Other
"I just made a bad git commit and made it public, and I need to revert the commit. Can you suggest me how to do that?",2,Other
Can you tell me how to squash the last n commits into a single commit? Is it even possible?,1,Other
"I want to move or copy Jenkins from one server to another. Is it possible? If yes, how?",1,Other
"Can you tell me, what Continuous Testing and Automation Testing are?",3,Other
How to launch a browser using WebDriver?,3,Other
Are there any technical challenges with Selenium? ,2,Other
When should I use Selenium Grid?,3,Other
Describe the difference between driver.close() and driver.quit().,3,Other
I have 40 jobs in the Jenkins dashboard and I need to build them all at once. Is it possible?,2,Other
How will you secure Jenkins?,2,Other
Can you please tell me how to create a backup and copy files in Jenkins?,2,Other
What is Jenkins Pipeline and CI/CD Pipeline?,2,Other
What are Puppet Manifests?,3,Other
How can I configure systems with Puppet?,1,Other
What is a Puppet Module? How is it different from the Puppet Manifest?,2,Other
Can you tell me what a Puppet codedir is?,1,Other
Where do you find codedir in Puppet?,2,Other
How does Ansible work?,3,Other
"Sometimes, we use ad-hoc commands instead of Playbooks in Ansible. Can you tell me what’s the difference between Ansible Playbook and an ad-hoc command? Also, cite when to use them.",2,Other
Why should I use Ansible?,2,Other
What are handlers in Ansible?,3,Other
Have you heard about Ansible Galaxy? What does it do?,3,Other
Can you write the syntax for building a docker image?,3,Other
Can you tell me the purpose of SSH?,3,Other
What is NRPE in Nagios?,1,Other
Can you tell me why I should use Nagios?,1,Other
What is Nagios Log Server?,1,Other
Can you tell me why I should use Nagios for HTTP monitoring?,1,Other
What is a namespace in Kubernetes?,2,Other
What is kubectl?,1,Other
What are the testing types supported by Selenium?,2,Other
What is the role of configuration management in DevOps?,3,Other
What is the role of AWS in DevOps?,1,Other
Which file is used to define dependency in Maven?,3,Other
What are the benefits of using the version control system (VCS)?,2,Other
What are the benefits of Ansible?,3,Other
Explain the different Selenium components.,2,Other
What are the advantages of Docker over virtual machines?,3,Other
Why are SSL certificates used in Chef?,2,Other
How can Docker containers be shared with different nodes?,1,Other
Watch this Cloud Computing Interview Questions and Answers video: ,2,Other
Compare between Cloud and On-premise Computing.,1,Other
What is a Cloud?,1,Other
What is Cloud Computing?,2,Other
What are some of the key features of Cloud Computing?,3,Other
What are the benefits of Cloud Computing?,1,Other
Mention the layers of PaaS architecture.,1,Other
What are the cloud service models?,1,Other
8. Write about Function as a Service.,2,Other
What are the components of Windows Azure?,3,Other
Which are the main constituents of the cloud ecosystem?,2,Other
Who are the cloud consumers in a cloud ecosystem?,2,Other
Who are the direct consumers in a cloud ecosystem?,1,Other
Who are the Cloud service providers in a cloud ecosystem?,3,Other
What are the differences occurred in distributed operations?,2,Other
Which agent is equivalent of Nova Compute?,2,Other
Mention the reliability and availability of Cloud Computing.,3,Other
Explain the Cloud Computing Architecture. ,3,Other
What are the Cloud Storage Levels?,2,Other
What are the serverless components in cloud computing with their advantages and disadvantages?,1,Other
Give the best example for the open-source Cloud Computing.,1,Other
What are microservices and their importance in the cloud?,3,Other
What is an AMI? How do we implement it?,2,Other
Why Hybrid Clouds are so important?,1,Other
List the platforms that are used for large-scale Cloud Computing.,1,Other
Mention the different types of models used for the deployment in Cloud Computing.,1,Other
Explain security management in terms of Cloud Computing.,3,Other
Which are the layers of Cloud Computing?,2,Other
Explain the full form and the usage of 'Eucalyptus' in Cloud Computing.,2,Other
Mention the names of some large cloud providers and databases.,2,Other
Explain the difference between cloud and traditional data centers.,1,Other
