Questions,Difficulty 
Define junk dimensions.,1
What is the use of Rank Transformation?,3
Define Sequence Generator transformation.,2
What is the purpose of the INITCAP function?,3
Define enterprise data warehousing?,1
Differentiate between a database and a data warehouse?,3
What do you understand by the term ‘domain’?,1
Differentiate between a repository server and a powerhouse.,3
How can we create indexes after completing the load process?,1
Define sessions in Informatica ETL.,3
How many number of sessions can we have in one group?,3
Differentiate between a mapping parameter and a mapping variable.,1
Mention the advantages of partitioning a session.,3
What are the features of complex mapping?,1
How can we identify whether a mapping is correct or not without a connecting session?,2
"Can we use mapping parameters or variables, developed in one mapping, into any other reusable transformation?",3
What is the use of the aggregator cache file?,1
What is lookup transformation?,3
What do you understand by the term ‘role-playing dimension’?,1
How can we access repository reports without SQL or other transformations?,1
Mention the types of metadata that are stored in repository.,3
What is code page compatibility?,3
How can we confirm all mappings in the repository simultaneously?,3
Define Aggregator transformation.,1
What is Expression transformation?,2
Define Filter transformation.,1
Define Joiner transformation.,1
What do you mean by Lookup transformation?,3
How can we use Union transformation?,1
Define incremental aggregation.,3
Differentiate between a connected lookup and an unconnected lookup.,3
Define mapplet.,2
What is reusable transformation?,2
Define update strategy.,3
Explain the scenario which compels Informatica server to reject files,1
What is surrogate key?,3
Mention the prerequisite tasks to achieve the session partition.,3
"In Informatics’ server, which files are created during the session RUMs?",1
Define a session task.,3
Define the command task.,3
Explain standalone command task.,1
What is a predefined event?,3
What is a user-defined event?,3
Define workflow.,2
Mention the different tools used in Workflow Manager?,1
Name the other tools used for scheduling purpose other than Workflow Manager and pmcmd.,1
Define OLAP (Online Analytical Processing).,1
Name the different types of OLAP.,1
Define worklet.,1
Mention the use of a Target Designer.,1
From where can we find the throughput option in Informatica?,1
Define target load order.,3
Define Informatica.,1
What are the different lookup cache(s)?,3
How can we update a record in target table without using Update Strategy?,1
82. What are the new features of Informatica 9.x Developer?,2
What is Informatica ETL Tool?,3
	What is the need for an ETL tool?,3
Compare Spotfire & QlikView,1
What is TIBCO Spotfire?,2
Is TIBCO Spotfire a Core Lab product?,3
What is S Programming Language?,3
What is Spotfire Analytics?,2
What is the use of Spotfire Analytics?,1
What are the features of Spotfire?,2
Describe the main features of TIBCO Spotfire 6.5?,3
What is Spotfire Cloud?,3
What are Spotfire Shared Folders?,1
What is TIBCO Certified Messaging?,1
"
Find Power BI Training in Other Regions",3
Jaspersoft Characteristics,3
What is Jaspersoft?,1
What are the main features of Jaspersoft?,2
What is the use of Jaspersoft?,2
What is JasperReport?,3
What is iReport?,2
What is the difference between JasperReports Server Community Edition and JasperReports Server Professional?,1
What is the use of Jasper Report?,3
What is iReport Designer?,1
What is Jaspersoft ETL?,2
Who are the customers of Jaspersoft?,3
Compare between ETL and ELT.,3
What is an ETL process?,2
How many steps are there in an ETL process?,2
What are the steps involved in an ETL process?,2
Can there be sub-steps for each of the ETL steps?,1
What are initial load and full load?,2
What is meant by incremental load?,1
What is a 3-tier system in ETL?,2
What are the three tiers in ETL?,2
What are the names of the layers in ETL?,3
What is meant by snapshots?,1
What are the characteristics of snapshots?,2
What are views?,1
What is meant by a materialized view log?,1
What is a materialized view?,3
What is the difference between PowerCenter and PowerMart?,1
With which apps can PowerCenter be connected?,1
Which partition is used to improve the performances of ETL transactions?,2
Does PowerMart provide connections to ERP sources?,3
What is meant by partitioning in ETL?,1
What is the benefit of increasing the number of partitions in ETL?,3
What are the types of partitions in ETL?,3
What is Round-Robin partitioning?,2
What is Hash partitioning?,3
What is mapping in ETL?,3
What is a session in ETL?,1
What is meant by Worklet in ETL?,2
What is Workflow in ETL?,3
What is the use of Mapplet in ETL?,2
What is meant by operational data store?,2
How does the operational data store work?,2
What does the ODS in ETL generate?,1
When are the tables in ETL analyzed?,2
How are the tables analyzed in ETL?,2
How can the mapping be fine-tuned in ETL?,1
What are the differences between connected and unconnected lookups in ETL?,3
Hyperion Characteristics,1
What is Hyperion?,1
What is Hyperion Planning?,3
What is Oracle Hyperion Financial Management (HFM)?,3
What are the different types of LOG Files?,2
What are attributes?,1
What is TB First and TB Last?,2
How does Attribute dim impact report performance?,2
Mention the main Features in Hyperion Planning v11.1.2.3?,3
How is data stored in the Essbase database?,2
What is the difference between UDA’s and Attribute dimensions?,1
iReport Characteristics,3
What is the difference between iReport and JasperReport?,1
How are JasperReports and iReports created?,1
How to determine the version of Java used by iReport designers in an environment?,2
What are the steps for identifying the default Java version used for generating iReport?,1
What is the command line for setting jdkhome specifically for iReport?,1
How to change the version of Java used by the iReport?,1
What is the command line for changing the version of Java used by the iReport?,3
What are the restrictions for using command line for changing the version of Java used by iReport?,1
Can JRE be selected to generate iReport?,2
How to solve the problem of running iReport when it generates Java error?,3
How to resolve the windows installer problem in Java?,3
How to add user defined functions In iReport?,2
What is achieved by scriptlets?,3
How to run user defined functions in iReport?,2
What is JAR?,2
What is the specific necessity of the class containing user defined function?,2
What is the parameter for using user defined function in iReport?,3
What is the process of using user defined function in iReport?,2
What are other user defined functions used in iReport?,3
Is there any way to know how the report looks?,3
Is it possible using multiple parameters for the query in iReport?,3
Is it necessary installing additional files after installing the standard version of iReport?,3
What is the process of documentation of iReport in Java?,2
Is it good using packages for iReport documentation?,1
What if the user cannot find Java.exe or (null)\jre\bin\java.exe nor (null) bin\java.exe while trying to generate iReport?,1
What is basically iReport?,2
What are the main features of JasperReport?,1
What are two main features of iReport?,1
What languages and codes are supported by iReport?,1
Has the iReport any integrated features?,2
What are the databases and data source that is supported by iReport?,2
Are there any facilities for having backup in iReport?,3
What is the link where information about iReport would be available?,3
What are the system requirements for iReport?,3
What files are required by iReport for configuration?,3
Checkout this Qlik Sense Tutorial for Beginners:,2
Explain briefly about Qlik Sense?,1
How to manage data in the app with the data manager?,2
How to add a new Data Table?,2
What are Qlik Sense Charts?,3
What is the Datatypes Qlik Sense?,3
Explain the Associative Data Model of Qlik Sense.,2
What is the QIX engine? ,3
What is the QlikSense Hub?,2
What is the function of QSS?,3
What are the architectural components of Qlik Sense?,1
What are Qlik Sense Streams?,2
How is histogram visualization important in Qlik Sense?,1
How does the visualization of text and images in Qlik Sense benefit users?,2
Where are treemap charts used?,1
Why use Qlik Sense filter panes?,3
How can you access a restricted file system in Qlik Sense?,3
How will you edit the data table in Qlik Sense?,3
Compare QlikView & Qlik Sense,2
Explain how Qlik Sense works?,2
Differentiate between traditional and associative Index?,2
How to connect Qlik Sense with R?,3
"Is there any ability to create, edit or augment apps in Qlik Sense Cloud?",2
What are synthetic keys under logical tables?,3
What are the four essential abilities of Qlik Sense?,1
Name the services that are managed by the Qlik Management Console.,1
Explain the process of creating an application in Qlik Sense.,3
How is Qlik converter useful for Qlik Sense users?,3
Name some important extensions we use in Qlik Sense.,3
What is the Qlik Sense collaboration feature?,2
How can you save a selection state for future use?,3
What do you do if data tables are not showing in the data manager?,1
What is Qlik Sense map visualization?,3
Why is warehousing important?,2
Why is data warehousing important for BI tools?,3
How do you manage records in an application via a fact supervisor?,1
How to create a Cyclic Group in Qlik Sense?,2
"What is the reason and cause for, when the SQL server is restarted, the data connection stops working?",3
Is data encrypted on Qlik Sense Cloud?,2
How to handle synthetic keys?,3
How do you publish a sheet?,3
What can be done in the Qlik Sense Cloud?,3
How to deploy Qlik Sense?,1
How do you add a new data table?,3
What are the desktop operations of Qlik Sense?,3
What is Qlikview Data?,3
How would you find memory reduction usage by a document?,2
How do you optimize stimulating data?,2
What is the advantage of the scheming condition?,2
Why are variables important?,1
What are the services managed by QMC?,3
Why is QSS important?,2
What do you think of the Trellis chart?,1
What is Power BI?,3
Why use Power BI?,1
What is the difference between Managed Enterprise BI and Self-service BI?,1
What exactly is Self-service BI?,1
Why are you interested in Power BI? What makes you think that Power BI would be a great career option?,1
Mention the important features of Power BI.,1
Is Power BI free to use? ,2
What are the versions of Power BI? ,2
What is Power BI Desktop?,1
What are the major components of Power BI?,3
What is the purpose of the ‘Get Data’ icon in Power BI? ,2
How can we filter data in Power BI?,1
: How is Power BI different from other BI tools?,1
: MSBI vs Power BI ,3
: Power BI vs Tableau,2
: What are the essential applications of Power BI?,2
: Advantages of using Power BI?,3
What are the building blocks of Power BI?,3
Where is data stored in Power BI?,3
What are content packs?,2
What are the different views in Power BI Desktop?,3
What is row-level security?,2
What is DAX? What are the benefits of using variables in DAX?,1
What is bidirectional cross-filtering in Power BI?,1
How are relationships defined in Power BI Desktop?,2
What do you know about Power BI Query Editor?,1
What is Advanced Editor in Power BI?,2
Why should general formatting be applied to data in Power BI?,3
: Name the different connectivity modes available in Power BI?,1
: What are the different types of refresh options available in Power BI?,1
What are the most common data shaping techniques?,1
"What is the difference between Calculated Columns, Calculated Tables, and Measures?",2
Which In-memory Analytics Engine is used in Power Pivot?,3
What is Power BI Designer?,2
Is it possible to refresh Power BI Reports after they are published to the cloud?,1
"What gateways are available in Power BI, and why use them?",1
How can geographic data be mapped into Power BI Reports?,2
What happens when you click on a single data point in one of the multiple visuals in a report?,1
What is z-order in Power BI?,1
What is the prerequisite for connecting to a database in Azure SQL Database?,1
: What are some ways that Excel experience can be leveraged with Power BI?,1
What is the difference between a Data Analyst and a Business Analyst?,1
List the core competencies of a Business Analyst.,2
What is a feasibility study?,3
What are the different tools used in Business Analytics? ,3
Explain the business analysis process flow.,1
How do you perform risk management in your project?,2
Differentiate between risk mitigation and risk avoidance.,3
8. What are the different phases of an IT project?,1
Differentiate between a software development life cycle and a project life cycle.,3
What are the tasks and responsibilities of a Project Manager?,2
What do you mean by critical path analysis?,3
How does CATWOE help in business analysis and decision-making?,1
List various components of strategy analysis.,3
What is business modeling?,2
List various software engineering processes.,3
Differentiate between Agile and Waterfall models.,1
What is RUP methodology?,3
What is RAD methodology?,2
What are project deliverables?,2
List the components of the Requirements Work Plan.,1
What is the purpose of the Requirement Traceability Matrix?,1
What is business process modeling?,1
List the benefits of business process modeling.,1
What is the use of UML?,3
How do you analyze performance metrics?,2
What do you think is the scope of Business Analysts in the Agile methodology perspective?,2
What is meant by scope creep?,2
List the elicitation techniques in Business Analytics.,2
What are the initial steps involved in product development?,3
What is BPMN gateway? What are its elements?,3
What are some of the steps that you can take to avoid scope creep?,3
Differentiate between BRD and SRS in Business Analysis.,3
What is gap analysis?,2
What is requirement prioritization in Business Analysis?,1
What are the techniques used for requirement prioritization?,2
Compare AWS and OpenStack,1
Describe OpenStack.,1
Explain the benefits of using OpenStack Cloud.,2
What are the key components of OpenStack?,2
What storage types are allowed by OpenStack Compute?,2
"Define ‘users,’ ‘role’ and ‘tenant’ in OpenStack.",3
Define Identity Service in OpenStack.,1
Define the Networking Managers in OpenStack Cloud.,3
Name the commands used to pause and un-pause(resume) an instance,1
List the storage locations for VM images in OpenStack,2
What is Token?,1
What is OpenStack Python SDK?,1
Describe the function of Filter Scheduler.,1
Define the Networking option in OpenStack.,1
List down the Networking hardware in OpenStack.,1
Define Hypervisor,1
List down the type of Hypervisors supported by OpenStack.,1
Explain in brief the modular architecture of OpenStack.,2
What command manages floating IP addresses in OpenStack,2
Define bare-metal node.,1
List down the components of OpenStack Compute,3
Define the role of API Server.,2
List the commands to generate Key pairs.,1
Define Flavor,2
How to create a user in OpenStack?,3
How to assign a project/tenant to a user?,1
Can we see the list of roles and associated IDs in OpenStack environment?,2
"
Find AWS Training in Other Regions",2
Watch this Microsoft Azure for Beginners video:,2
What is Microsoft SharePoint Portal Server?,2
What are zones?,2
What is Windows SharePoint services?,3
How is SharePoint Portal Server different from the Site Server?,1
What is LINQ? How is it used in SharePoint?,3
What are the hardware and software requirements for SharePoint 2010?,2
What are the advantages of service applications over SSP?,2
What is new SharePoint 2013?,3
Why should a company migrate to SharePoint 2013?,2
What is the licensing model for SharePoint 2013?,2
What are the features of SharePoint?,3
Why is it required to use sandbox solution in SharePoint?,2
"
Find React JS Training in Other Regions",1
What is AWS?,1
Give the comparison between AWS and OpenStack.,3
What is the importance of buffer in Amazon Web Services?,3
"How are Spot Instance, On-demand Instance, and Reserved Instance different from one another?",1
Why do we make subnets?,1
Is there a way to upload a file that is greater than 100 megabytes in Amazon S3?,3
What is the maximum number of S3 buckets you can create?,1
How can you save the data on root volume on an EBS-backed machine?,2
When should you use the classic load balancer and the application load balancer?,2
How many total VPCs per account/region and subnets per VPC can you have?,2
"Your organization has decided to have all their workload on the public cloud. But, due to certain security concerns, your organization decides to distribute some of the workload on private servers. You are asked to suggest a cloud architecture for your organization. What will be your suggestion?",3
Which one of the storage solutions offered by AWS would you use if you need extremely low pricing and data archiving?,2
"You have connected four instances to ELB. To automatically terminate your unhealthy instances and replace them with new ones, which functionality would you use?",3
"The data on the root volumes of store-backed and EBS-backed instances get deleted by default when they are terminated. If you want to prevent that from happening, which instance would you use?",3
How will you configure an Amazon S3 bucket to serve static assets for your public web application?,2
Your organization wants to send and receive compliance emails to its clients using its own email address and domain. What service would you suggest for achieving the same in an easy and cost-effective way?,1
"Can you launch Amazon Elastic Compute Cloud (EC2) instances with predetermined private IP addresses? If yes, then with which Amazon service it is possible?",3
"If you launched a standby RDS, will it be launched in the same availability zone as your primary?",1
What is the name of Amazon's Content Delivery Network ?,2
"Which Amazon solution will you use if you want to accelerate moving petabytes of data in and out of AWS, using storage devices that are designed to be secure for data transfer?",2
"If you are running your DB instance as Multi-AZ deployment, can you use standby DB instances along with your primary DB instance?",3
"Your organization is developing a new multi-tier web application in AWS. Being a fairly new and small organization, there’s limited staff. But, the organization requires high availability. This new application comprises complex queries and table joins. Which Amazon service will be the best solution for your organization’s requirements?",1
"You accidently stopped an EC2 instance in a VPC with an associated Elastic IP. If you start the instance again, what will be the result?",1
"Your organization has around 50 IAM users. Now, it wants to introduce a new policy that will affect the access permissions of an IAM user. How can it implement this without having to apply the policy at the individual user level?",3
"Your organization is using DynamoDB for its application. This application collects data from its users every 10 minutes and stores it in DynamoDB. Then every day, after a particular time interval, the data (respective to each user) is extracted from DynamoDB and sent to S3. Then, the application visualizes this data to the users. You are asked to propose a solution to help optimize the backend of the application for latency at lower cost. What would you recommend?",1
I created a web application with autoscaling. I observed that the traffic on my application is the highest on Wednesdays and Fridays between 9 AM and 7 PM. What would be the best solution for me to handle the scaling?,2
"How would you handle a situation where the relational database engine crashes often whenever the traffic to your RDS instances increases, given that the replica of RDS instance is not promoted as the master instance?",1
You have an application running on your Amazon EC2 instance. You want to reduce the load on your instance as soon as the CPU utilization reaches 100 percent. How will you do that?,2
What would I have to do if I want to access Amazon Simple Storage buckets and use the information for access audits?,1
"I created a key in North Virginia region to encrypt my data in Oregon region. I also added three users to the key and an external AWS account. Then, to encrypt an object in S3, when I tried to use the same key, it was not listed. Where did I go wrong?",2
"Suppose, you hosted an application on AWS that lets the users render images and do some general computing. Which of the below listed services can you use to route the incoming user traffic?Classic Load BalancerApplication Load BalancerNetwork Load balancer",1
"Suppose, I created a subnet and launched an EC2 instance in the subnet with default settings. Which of the following options will be ready to use on the EC2 instance as soon as it is launched?Elastic IPPrivate IPPublic IPInternet Gateway",1
Your organization has four instances for production and another four for testing. You are asked to set up a group of IAM users that can only access the four production instances and not the other four testing instances. How will you achieve this?,1
Your organization wants to monitor the read and write IOPS for its AWS MySQL RDS instance and then send real-time alerts to its internal operations team. Which service offered by Amazon can help your organization achieve this scenario?,1
Which of the following services can be used if you want to capture client connection information from your load balancer at a particular time interval?Enabling access logs on your load balancerEnabling CloudTrail for your load balancerEnabling CloudWatch metrics for your load balancer,1
You have created a VPC with private and public subnets. In what kind of subnet would you launch the database servers?,1
Is it possible to switch from an Instance-backed root volume to an EBS-backed root volume at any time?,1
"Can you change the instance type of the instances that are running in your application tier and are also using autoscaling? If yes, then how? (Choose one of the following)Yes, by modifying autoscaling launch configurationYes, by modifying autoscaling tags configurationYes, by modifying autoscaling policy configurationNo, it cannot be changed",3
Can you name the additional network interface that can be created and attached to your Amazon EC2 instance launched in your VPC?,2
"Out of the following options, where does the user specify the maximum number of instances with the autoscaling commands?Autoscaling policy configurationAutoscaling groupAutoscaling tags configurationAutoscaling launch configuration",3
"Which service provided by AWS can you use to transfer objects from your data center, when you are using Amazon CloudFront?",2
"You have deployed multiple EC2 instances across multiple availability zones to run your website. You have also deployed a Multi-AZ RDS MySQL Extra Large DB Instance. The site performs a high number of small read and write operations per second. After some time, you observed that there is read contention on RDS MySQL. What would be your approach to resolve the contention and optimize your website?",3
Your company wants you to propose a solution so that the company’s data center can be connected to Amazon cloud network. What would be your proposal?,1
Which of the following Amazon Services would you choose if you want complex querying capabilities but not a whole data warehouse?RDSRedshiftElastiCacheDynamoDB,3
"You want to modify the security group rules while it is being used by multiple EC2 instances. Will you be able to do that? If yes, will the new rules be implemented on all previously running EC2 instances that were using that security group?",2
Which one of the following is a structured data store that supports indexing and data queries to both EC2 and S3? DynamoDBMySQLAuroraSimpleDB,1
Which service offered by Amazon will you choose if you want to collect and process e-commerce data for near real-time analysis? (Choose any two)DynamoDBRedshiftAuroraSimpleDB,3
"If in CloudFront the content is not present at an edge location, what will happen when a request is made for that content?",1
Can you change the private IP address of an EC2 instance while it is in running or in a stopped state?,1
"Which of the following options will you use if you have to move data over long distances using the Internet, from instances that are spread across countries to your Amazon S3 bucket?Amazon CloudFrontAmazon Transfer AccelerationAmazon SnowballAmazon Glacier",3
Which of the following services is a data storage system that also has REST API interface and uses secure HMAC-SHA1 authentication keys?Amazon Elastic Block StoreAmazon SnapshotAmazon S3,2
What is EC2?,1
What is Snowball?,3
What is CloudWatch?,2
What is Elastic Transcoder?,3
What do you understand by VPC?,3
What does an AMI include?,1
What are the Storage Classes available in Amazon S3?,3
What are the native AWS security logging capabilities?,1
What are key pairs?,1
What are policies and what are the different types of policies?,2
What kind of IP address can you use for your customer gateway (CGW) address?,2
Which of the following is not an option in security groups?List of usersPortsIP addressesList of protocolsList of users,1
"A Company has a running Web Application Server in the N. Virginia region and the server has a large size EBS volume of approximately 500 GB, and to see the demand of business, the company needs to migrate the server from the current region to another AWS account’s Mumbai location. Which is the best way to migrate the server from the current location to the Mumbai region? And what information AWS administrator does require about AWS A/C?",3
"Unable to ping Instance We launched a Windows 2019 IIS server in the Ohio region and deployed a dynamic website in this server, in addition, the webserver also connected with a backend MS-SQL server to store and access data related to the application. Our users were able to access the website over the Internet. The next day our client informed us that they were able to access the website, but weren’t able to ping the server from the Internet. To ensure ICMP rule in Security Group, we checked, and the Security Group had allowed rule from 0.0.0.0/0. Would you try to help troubleshoot the issue?",3
"A start-up company has a web application based in the us-east-1 Region with multiple Amazon EC2 instances running behind an Application Load Balancer across multiple Availability Zones. As the company's user base grows in the us-west-1 region, the company needs a solution with low latency and improved high availability. What should a solutions architect do to achieve it.?",2
A company currently operates a web application backed by an Amazon RDS MySQL database. It has automated backups that are run daily and are not encrypted. A security audit requires future backups to be encrypted and unencrypted backups to be destroyed. The company will make at least one encrypted backup before destroying the old backups. What should be done to enable encryption for future backups?,3
"A company is going to launch one branch in the UK and need to continue with its existing main branch in the USA. The company has almost 15 GB of data which is stored in an S3 Bucket in the Ohio region and data is stored with the default storage class. The Company also wants to provide its updated & stored data in the London S3 bucket using one zone accessibility storage class to save storage costs. In addition, the company also wants that the data must be updated automatically in S3’s London bucket; if any data is modified or written in the S3 bucket in Ohio.",1
"You are an AWS Architect in your company, and you are asked to create a new VPC in the N.Virginia Region with two Public and two Private subnets using the following CIDR blocks:",3
"The data on the root volumes of store-backed and EBS-backed instances get deleted by default when they are terminated. If you want to prevent that from happening, which instance would you use? And ensure if the EC2 instance is restarted, the data or configuration in the EC2 instance should not be lost.",1
You have an application running on an EC2 instance. You need to reduce the load on your instance as soon as the CPU utilization reaches 80 percent. How will you accomplish the job?,1
Watch this Video on AWS Training,3
"In AWS, three different storage services are available, such as EFS, S3, and EBS. When should I use Amazon EFS vs. Amazon S3 vs. Amazon Elastic Block Store (EBS)?",1
"A company's web application is using multiple Linux Amazon EC2 instances and storing data on Amazon EBS volumes. The company is looking for a solution to increase the resiliency of the application in case of a failure and to provide storage that complies with atomicity, consistency, isolation, and durability (ACID). What should a solutions architect do to meet these requirements?",3
"An application running on AWS uses an Amazon Aurora Multi-AZ deployment for its database. When evaluating performance metrics, a solutions architect discovered that the database reads are causing high I/O and adding latency to the write requests against the database. What should the solutions architect do to separate the read requests from the write requests?",1
A client reports that they wanted to see an audit log of any changes made to AWS resources in their account. What can the client do to achieve this?,2
"Usually, you have noticed that one EBS volume can be connected with one EC2 instance, our company wants to run a business-critical application on multiple instances in a single region and need to store all instances output in single storage within the VPC. Instead of using EFS, our company is recommending the use of multi-attach volume with instances. As an architect, you need to suggest them what instance type and EBS volumes they should use.",2
"A company is using a VPC peering connection option to connect its multiple VPCs in a single region to allow for cross VPC communication. A recent increase in account creations and VPCs has made it difficult to maintain the VPC peering strategy, and the company expects to grow to hundreds of VPCs. There are also new requests to create site-to-site VPNs with some of the VPCs. A solutions architect has been tasked with creating a centrally networking setup for multiple accounts and VPNs. Which networking solution would you recommend to resolve it?",3
"An organization has multiple facilities in various continents such as North America, Europe, and the Asia Pacific. The organization is designing a new distributed application to manage and optimize its global supply chain and its manufacturing process. It needs to design the process in such a way that the booked order in one continent should be able to support data failover with a short Recovery Time Objective (RTO). The uptime of the application should not impact manufacturing, what kind of solution would you recommend as a solution architect?",2
Check out this video on DevOps Interview Questions:,2
What is DevOps?,3
How does HTTP work?,1
"In terms of development and infrastructure, mention the core operations of DevOps.",3
What are some technical and business benefits of DevOps work culture?,2
Name some of the most important DevOps tools?,1
What is CI? What is its purpose?,2
Name three important DevOps KPIs.,2
What is the difference between continuous deployment and continuous delivery?,2
What is DevOps? Is it a tool?,2
What are the core operations of DevOps in terms of development and infrastructure?,2
"Our team has some ideas and wants to turn those ideas into a software application. Now, as a manager, I am confused about whether I should follow the Agile work culture or DevOps. Can you tell me why I should follow DevOps over Agile?",2
Can one consider DevOps as an Agile methodology?,3
Can you tell me the advantages of using Git?,1
Are git fetch and git pull the same?,3
What are the benefits of using version control?,1
How do you handle the merge conflicts in Git?,3
Can you tell me some advantages of Forking Workflow over other Git workflows?,2
When do you use ‘git rebase’ instead of ‘git merge’?,3
"I just made a bad git commit and made it public, and I need to revert the commit. Can you suggest me how to do that?",2
Can you tell me how to squash the last n commits into a single commit? Is it even possible?,1
"I want to move or copy Jenkins from one server to another. Is it possible? If yes, how?",1
"Can you tell me, what Continuous Testing and Automation Testing are?",3
How to launch a browser using WebDriver?,3
Are there any technical challenges with Selenium? ,2
When should I use Selenium Grid?,3
Describe the difference between driver.close() and driver.quit().,3
I have 40 jobs in the Jenkins dashboard and I need to build them all at once. Is it possible?,2
How will you secure Jenkins?,2
Can you please tell me how to create a backup and copy files in Jenkins?,2
What is Jenkins Pipeline and CI/CD Pipeline?,2
What are Puppet Manifests?,3
How can I configure systems with Puppet?,1
What is a Puppet Module? How is it different from the Puppet Manifest?,2
Can you tell me what a Puppet codedir is?,1
Where do you find codedir in Puppet?,2
How does Ansible work?,3
"Sometimes, we use ad-hoc commands instead of Playbooks in Ansible. Can you tell me what’s the difference between Ansible Playbook and an ad-hoc command? Also, cite when to use them.",2
Why should I use Ansible?,2
What are handlers in Ansible?,3
Have you heard about Ansible Galaxy? What does it do?,3
Can you write the syntax for building a docker image?,3
What is the concept of sudo in Linux?,1
Can you tell me the purpose of SSH?,3
What is NRPE in Nagios?,1
Can you tell me why I should use Nagios?,1
What is Nagios Log Server?,1
Can you tell me why I should use Nagios for HTTP monitoring?,1
What is a namespace in Kubernetes?,2
What is kubectl?,1
What are the testing types supported by Selenium?,2
What are the prerequisites to install Ansible 2.8 on Linux?,2
What is the role of configuration management in DevOps?,3
What is the role of AWS in DevOps?,1
Which file is used to define dependency in Maven?,3
What are the benefits of using the version control system (VCS)?,2
What are the benefits of Ansible?,3
Explain the different Selenium components.,2
What are the advantages of Docker over virtual machines?,3
Why are SSL certificates used in Chef?,2
How can Docker containers be shared with different nodes?,1
Watch this Cloud Computing Interview Questions and Answers video: ,2
Compare between Cloud and On-premise Computing.,1
What is a Cloud?,1
What is Cloud Computing?,2
What are some of the key features of Cloud Computing?,3
What are the benefits of Cloud Computing?,1
Mention the layers of PaaS architecture.,1
What are the cloud service models?,1
8. Write about Function as a Service.,2
What are the components of Windows Azure?,3
Which are the main constituents of the cloud ecosystem?,2
Who are the cloud consumers in a cloud ecosystem?,2
Who are the direct consumers in a cloud ecosystem?,1
Who are the Cloud service providers in a cloud ecosystem?,3
What are the differences occurred in distributed operations?,2
Which agent is equivalent of Nova Compute?,2
Mention the reliability and availability of Cloud Computing.,3
Explain the Cloud Computing Architecture. ,3
What are the Cloud Storage Levels?,2
What are the serverless components in cloud computing with their advantages and disadvantages?,1
Give the best example for the open-source Cloud Computing.,1
What are microservices and their importance in the cloud?,3
What is an AMI? How do we implement it?,2
Why Hybrid Clouds are so important?,1
List the platforms that are used for large-scale Cloud Computing.,1
Mention the different types of models used for the deployment in Cloud Computing.,1
Explain security management in terms of Cloud Computing.,3
Which are the layers of Cloud Computing?,2
Explain the full form and the usage of 'Eucalyptus' in Cloud Computing.,2
Mention the names of some large cloud providers and databases.,2
Explain the difference between cloud and traditional data centers.,1
What is meant by Edge Computing?,2
What are the uses of APIs in cloud services?,3
Mention different data center deployments of Cloud Computing.,3
List down the three basic functioning clouds in Cloud Computing.,1
What are the characteristics of cloud architecture that differ from traditional cloud architecture?,1
What are the building blocks of cloud architecture?,2
Explain AWS.,1
Mention the key components of AWS.,1
Explain how you can vertically scale an Amazon instance.,1
Explain the security usage in the Amazon Web Services model.,3
"Watch this Cloud Computing Full Course video:
",1
What are reasons that make Amazon so big?,1
How does Resource Replication take place in Cloud Computing?,1
What is Containers as a Service (CaaS)?,3
Check this video on Blockchain Interview Questions And Answers:,2
What is Blockchain technology?,2
What is Blockchain Wallet and How Does It Work?,2
What Is Ethereum (ETH)?,2
What is the difference between Bitcoin blockchain and Ethereum?,1
What are Smart Contracts and how do they work?,2
What Is Cryptocurrency Mining and how Bitcoin mining works?,1
What is a Blockchain Explorer?,3
What Is Hashing in Blockchain?,1
What are the different types of Blockchain?,2
What are the benefits of Blockchain Technology?,2
Name some popular Blockchain Platforms for Blockchain Applications?,1
What is the difference between Blockchain and Hyperledger?,3
What are some of the popular Cryptocurrencies?,2
What is a ledger? What is the difference between a distributed ledger and a traditional ledger?,2
What is a 51% Attack?,3
Compare Blockchain with relational database,1
What do you mean by blocks in Blockchain technology?,1
How does a block is recognized in the Blockchain approach?,3
Are there any network-specific conditions for using Blockchain technology in an organization?,1
Is it possible to modify the data once it is written in a block?,2
What type of records can be kept in Blockchain? Is there any restriction on the same?,1
How Does Blockchain Create Blocks?,1
Can Anyone Remove Blocks from A Blockchain?,1
What is encryption? What is its role in Blockchain?,2
What exactly do you know about the security of a block?,2
Why is Blockchain a trusted approach?,2
What is Secret Sharing? Does it have any benefit in Blockchain technology?,3
What are Blockchain Durability and robustness?,2
How does Bitcoin use Blockchain?,1
Is Blockchain an incorruptible ledger?,1
What are blockchain requirements?,3
In what order are the blocks linked in the blockchain?,3
What are Block Identifiers?,3
Name the common type of ledgers that can be considered by users in Blockchain?,1
How is a blockchain ledger different from an ordinary ledger?,2
What is Double Spending? Is it possible to double spend in a Blockchain system?,2
Explain the significance of blind signature and how it is useful?,3
Can you define what is an off-chain transaction?,3
"when it comes to securing the transactions records, How will you handle risk management when it comes to securing the transactions records?",3
What are the threats to the information you are familiar with?,1
What are the key principles in Blockchain that are helpful in eliminating the security threats that need to be followed?,3
Can you name some of the popular consensus algorithms?,2
What Is the Difference Between Proof-Of-Stake (Pos) And Proof-Of-Work (Pow)?,2
Name the steps that are involved in the Blockchain project implementation?,3
What is a Public Key?,1
What is a Private Key?,1
What Are the Drawbacks of Blockchain?,1
How Can You Stop Double Spending?,1
What is Transparent and incorruptible in blockchain?,3
What Is Consensus Algorithm?,1
